iter	Passed	Remaining
0	108	108226
1	112	56280
2	117	39176
3	121	30305
4	125	24986
5	129	21452
6	133	18941
7	137	17084
8	142	15672
9	146	14471
10	150	13537
11	154	12689
12	158	12055
13	162	11441
14	166	10962
15	171	10547
16	175	10135
17	180	9863
18	184	9551
19	189	9265
20	195	9096
21	202	8985
22	207	8800
23	212	8635
24	217	8471
25	222	8320
26	226	8163
27	233	8100
28	238	7991
29	246	7986
30	252	7891
31	257	7784
32	264	7747
33	268	7635
34	274	7575
35	279	7486
36	283	7379
37	288	7297
38	293	7230
39	298	7156
40	303	7100
41	308	7042
42	313	6977
43	318	6928
44	324	6887
45	328	6818
46	333	6768
47	338	6721
48	343	6660
49	347	6607
50	352	6561
51	356	6493
52	359	6431
53	365	6394
54	369	6354
55	374	6309
56	378	6269
57	382	6216
58	386	6161
59	390	6114
60	394	6076
61	399	6039
62	402	5985
63	405	5932
64	410	5910
65	414	5866
66	417	5819
67	421	5772
68	426	5753
69	430	5724
70	435	5691
71	439	5664
72	443	5633
73	446	5591
74	450	5551
75	454	5530
76	459	5503
77	487	5763
78	491	5732
79	494	5692
80	498	5653
81	502	5627
82	506	5597
83	509	5559
84	513	5522
85	517	5500
86	522	5479
87	525	5446
88	529	5415
89	533	5394
90	537	5369
91	540	5337
92	544	5310
93	548	5288
94	552	5267
95	556	5238
96	559	5211
97	564	5191
98	568	5169
99	571	5141
100	574	5115
101	578	5096
102	583	5078
103	586	5053
104	589	5027
105	593	5009
106	597	4990
107	601	4965
108	604	4942
109	608	4922
110	612	4908
111	616	4887
112	619	4864
113	624	4850
114	628	4835
115	631	4815
116	635	4793
117	639	4778
118	643	4762
119	646	4744
120	650	4728
121	655	4715
122	659	4700
123	662	4680
124	666	4662
125	670	4649
126	674	4635
127	677	4617
128	681	4599
129	686	4594
130	690	4582
131	694	4563
132	697	4548
133	702	4541
134	708	4536
135	711	4522
136	716	4510
137	720	4501
138	723	4483
139	727	4467
140	731	4458
141	736	4449
142	740	4438
143	744	4423
144	749	4421
145	753	4408
146	757	4396
147	762	4389
148	766	4378
149	770	4364
150	773	4348
151	779	4348
152	783	4337
153	787	4324
154	791	4314
155	796	4310
156	800	4299
157	804	4288
158	809	4279
159	812	4265
160	816	4253
161	821	4251
162	825	4241
163	829	4228
164	833	4217
165	853	4287
166	857	4274
167	860	4263
168	864	4253
169	869	4244
170	874	4238
171	877	4226
172	882	4218
173	886	4210
174	890	4196
175	892	4178
176	896	4169
177	901	4164
178	905	4153
179	909	4141
180	913	4133
181	917	4124
182	920	4111
183	924	4100
184	929	4094
185	933	4083
186	936	4072
187	940	4061
188	945	4056
189	948	4045
190	952	4035
191	957	4028
192	964	4030
193	974	4049
194	984	4064
195	988	4053
196	992	4046
197	999	4047
198	1003	4040
199	1009	4037
200	1013	4027
201	1016	4016
202	1020	4007
203	1026	4003
204	1029	3992
205	1033	3981
206	1036	3972
207	1042	3969
208	1046	3958
209	1049	3948
210	1054	3942
211	1058	3935
212	1062	3925
213	1065	3915
214	1071	3911
215	1075	3905
216	1079	3894
217	1083	3887
218	1089	3883
219	1092	3873
220	1096	3866
221	1102	3862
222	1105	3853
223	1109	3845
224	1114	3840
225	1118	3832
226	1122	3822
227	1126	3812
228	1131	3810
229	1135	3800
230	1139	3792
231	1142	3783
232	1147	3778
233	1151	3769
234	1154	3759
235	1159	3754
236	1163	3747
237	1167	3738
238	1170	3728
239	1177	3727
240	1180	3718
241	1184	3710
242	1189	3704
243	1194	3699
244	1197	3691
245	1201	3682
246	1206	3677
247	1210	3669
248	1213	3660
249	1216	3650
250	1222	3647
251	1225	3638
252	1229	3630
253	1233	3622
254	1238	3617
255	1241	3608
256	1245	3600
257	1249	3593
258	1254	3590
259	1258	3581
260	1262	3573
261	1267	3568
262	1271	3562
263	1274	3553
264	1278	3545
265	1283	3541
266	1286	3531
267	1289	3522
268	1293	3513
269	1297	3508
270	1301	3499
271	1304	3491
272	1308	3483
273	1313	3479
274	1316	3470
275	1320	3463
276	1323	3454
277	1328	3451
278	1332	3444
279	1336	3437
280	1340	3430
281	1345	3425
282	1349	3418
283	1352	3410
284	1357	3405
285	1361	3398
286	1364	3390
287	1368	3383
288	1373	3379
289	1377	3371
290	1380	3363
291	1384	3356
292	1389	3352
293	1393	3345
294	1396	3338
295	1400	3331
296	1405	3327
297	1409	3320
298	1412	3312
299	1417	3306
300	1421	3301
301	1425	3293
302	1429	3287
303	1435	3286
304	1439	3279
305	1443	3273
306	1448	3269
307	1451	3262
308	1455	3254
309	1459	3247
310	1464	3245
311	1468	3237
312	1472	3230
313	1475	3224
314	1481	3221
315	1484	3214
316	1488	3208
317	1493	3203
318	1497	3196
319	1501	3189
320	1504	3182
321	1510	3180
322	1514	3173
323	1518	3167
324	1521	3160
325	1526	3156
326	1530	3149
327	1534	3143
328	1538	3138
329	1542	3132
330	1546	3124
331	1549	3117
332	1553	3111
333	1557	3105
334	1561	3098
335	1564	3091
336	1568	3085
337	1572	3080
338	1576	3073
339	1580	3067
340	1585	3063
341	1589	3057
342	1592	3050
343	1596	3043
344	1601	3039
345	1604	3032
346	1608	3026
347	1611	3019
348	1616	3016
349	1620	3009
350	1624	3003
351	1628	2997
352	1633	2994
353	1637	2987
354	1640	2981
355	1645	2976
356	1650	2972
357	1653	2965
358	1657	2958
359	1662	2956
360	1666	2949
361	1670	2943
362	1674	2938
363	1679	2934
364	1683	2928
365	1687	2923
366	1692	2919
367	1696	2913
368	1700	2908
369	1704	2902
370	1709	2898
371	1713	2892
372	1718	2887
373	1723	2885
374	1727	2879
375	1731	2873
376	1735	2867
377	1740	2863
378	1744	2858
379	1748	2853
380	1753	2849
381	1758	2844
382	1762	2839
383	1767	2835
384	1771	2829
385	1775	2823
386	1778	2817
387	1784	2814
388	1787	2807
389	1791	2801
390	1794	2795
391	1800	2792
392	1804	2786
393	1808	2780
394	1813	2777
395	1817	2771
396	1820	2765
397	1824	2760
398	1831	2759
399	1838	2758
400	1866	2788
401	1870	2783
402	1879	2783
403	1883	2779
404	1888	2774
405	1895	2773
406	1899	2767
407	1903	2761
408	1908	2757
409	1912	2751
410	1915	2745
411	1919	2739
412	1925	2736
413	1928	2730
414	1932	2724
415	1937	2719
416	1941	2714
417	1945	2709
418	1950	2705
419	1955	2700
420	1959	2695
421	1963	2689
422	1968	2685
423	1972	2679
424	1975	2673
425	1979	2667
426	1985	2663
427	1988	2657
428	1992	2651
429	1996	2647
430	2001	2642
431	2005	2636
432	2009	2631
433	2014	2627
434	2018	2621
435	2022	2616
436	2026	2610
437	2031	2607
438	2035	2601
439	2040	2596
440	2047	2594
441	2050	2588
442	2054	2583
443	2059	2579
444	2064	2575
445	2068	2569
446	2073	2564
447	2078	2560
448	2082	2555
449	2087	2550
450	2092	2547
451	2097	2543
452	2101	2537
453	2107	2534
454	2111	2528
455	2115	2523
456	2119	2518
457	2124	2513
458	2128	2509
